NPL_STATUS,NPL_STATUS_DATE,LATITUDE,LONGITUDE,FEDERAL_STATUS,LAST_UPDATED
Proposed for NPL,5/24/13,46.964877,-114.197815,G (General or Non-federal),2/27/14
Proposed for NPL,3/10/11,46.145278,-123.861112,G (General or Non-federal),2/27/14
Proposed for NPL,9/23/09,38.588057,-75.298056,G (General or Non-federal),2/27/14
Proposed for NPL,4/9/09,41.133056,-75.878056,G (General or Non-federal),2/27/14
Proposed for NPL,9/23/04,39.72944,-84.21944,G (General or Non-federal),2/27/14
Proposed for NPL,3/8/04,30.56194,-91.22055,G (General or Non-federal),2/27/14
Proposed for NPL,4/30/03,39.30796,-76.51788,G (General or Non-federal),2/27/14
Proposed for NPL,4/30/03,39.42986,-84.531,G (General or Non-federal),2/27/14
Proposed for NPL,9/13/01,38.58583,-90.17291,G (General or Non-federal),2/27/14
Proposed for NPL,9/13/01,38.59736,-90.18222,G (General or Non-federal),2/27/14
Proposed for NPL,9/13/01,44.8925,-115.34527,G (General or Non-federal),2/27/14
Proposed for NPL,6/14/01,29.3722,-98.5376,G (General or Non-federal),2/27/14
Proposed for NPL,12/1/00,41.91666,-72.54722,G (General or Non-federal),2/27/14
Proposed for NPL,12/1/00,40.28861,-88.13861,F (Federal),2/27/14
Proposed for NPL,12/1/00,47.32138,-116.575,G (General or Non-federal),2/27/14
Proposed for NPL,7/27/00,38.69612,-96.81158,G (General or Non-federal),2/27/14
Proposed for NPL,5/11/00,32.382,-86.306,G (General or Non-federal),2/27/14
Proposed for NPL,5/11/00,41.13013,-74.16486,G (General or Non-federal),2/27/14
Proposed for NPL,5/11/00,42.76556,-71.48777,G (General or Non-federal),2/27/14
Proposed for NPL,7/28/98,44.5331,-88.0015,G (General or Non-federal),2/27/14
Proposed for NPL,7/28/98,39.83611,-74.95833,G (General or Non-federal),2/27/14
Proposed for NPL,9/25/97,42.45027,-73.23222,G (General or Non-federal),2/27/14
Proposed for NPL,4/1/97,31.16611,-81.46666,G (General or Non-federal),2/27/14
Proposed for NPL,6/17/96,38.60833,-89.42083,G (General or Non-federal),2/27/14
Proposed for NPL,2/13/95,43.57208,-83.90722,G (General or Non-federal),2/27/14
Proposed for NPL,2/13/95,30.24083,-93.21916,G (General or Non-federal),2/27/14
Proposed for NPL,2/13/95,32.51666,-93.71166,G (General or Non-federal),2/27/14
Proposed for NPL,2/13/95,28.04944,-82.39472,G (General or Non-federal),2/27/14
Proposed for NPL,8/23/94,45.6678,-110.5544,G (General or Non-federal),2/27/14
Proposed for NPL,1/18/94,39.98777,-82.88722,F (Federal),2/27/14
Proposed for NPL,1/18/94,39.81944,-75.41222,G (General or Non-federal),2/27/14
Proposed for NPL,1/18/94,40.75,-112.125,G (General or Non-federal),2/27/14
Proposed for NPL,1/18/94,40.65833,-111.89111,G (General or Non-federal),2/27/14
Proposed for NPL,1/18/94,39.82361,-82.93805,F (Federal),2/27/14
Proposed for NPL,1/18/94,44.45,-83.36666,F (Federal),2/27/14
Proposed for NPL,5/10/93,39.79333,-104.98027,G (General or Non-federal),2/27/14
Proposed for NPL,5/10/93,45.11638,-114.26444,G (General or Non-federal),2/27/14
